"2","000001.SZ","平安银行","2219.4475","金融","银行","商业银行","多元化银行","1717041.12"
"3","000002.SZ","万科A","3228.5105","房地产","房地产","房地产管理和开发","房地产开发","1103915.25"
"4","000004.SZ","国农科技","15.9858","医疗保健","制药、生物科技与生命科学","制药","西药","8397.67"
"5","000005.SZ","世纪星源","38.1708","工业","商业和专业服务","商业服务与用品","环境与设施服务","105853.68"
"6","000006.SZ","深振业A","84.8067","房地产","房地产","房地产管理和开发","房地产开发","134999.50"
"7","000007.SZ","全新好","25.4224","房地产","房地产","房地产管理和开发","房地产经营公司","34644.80"
"8","000008.SZ","神州高铁","131.9765","工业","资本货物","机械","工业机械","278079.53"
"9","000009.SZ","中国宝安","125.3928","工业","资本货物","综合类","综合类行业","214934.50"
"10","000010.SZ","美丽生态","31.5316","工业","资本货物","建筑与工程","建筑与工程","81985.47"
"11","000011.SZ","深物业A","65.6411","房地产","房地产","房地产管理和开发","房地产开发","59597.91"
"12","000012.SZ","南玻A","152.2691","材料","材料","建材","建材","286327.72"
"13","000014.SZ","沙河股份","22.8855","房地产","房地产","房地产管理和开发","房地产开发","20170.52"
"14","000016.SZ","深康佳A","115.4369","可选消费","耐用消费品与服装","家庭耐用消费品","消费电子产品","240794.55"
"15","000017.SZ","深中华A","28.1298","可选消费","耐用消费品与服装","休闲设备与用品","休闲用品","55134.79"
"16","000018.SZ","神州长城","49.4189","工业","资本货物","建筑与工程","建筑与工程","169824.50"
"17","000019.SZ","深粮控股","94.4848","日常消费","食品、饮料与烟草","饮料","软饮料","115253.53"
"18","000020.SZ","深华发A","35.4574","可选消费","耐用消费品与服装","家庭耐用消费品","消费电子产品","28316.12"
"19","000021.SZ","深科技","114.5817","信息技术","技术硬件与设备","电脑与外围设备","电脑存储与外围设备","147125.94"
"20","000023.SZ","深天地A","23.7079","材料","材料","建材","建材","13875.62"
"21","000025.SZ","特力A","96.2301","可选消费","零售业","专营零售","汽车零售","29728.16"
"22","000026.SZ","飞亚达A","38.6800","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","服装、服饰与奢侈品","44296.89"
"23","000027.SZ","深圳能源","256.5819","公用事业","公用事业","电力","电力","396449.16"
"24","000028.SZ","国药一致","202.3671","医疗保健","医疗保健设备与服务","医疗保健提供商与服务","保健护理产品经销商","42812.70"
"25","000029.SZ","深深房A","113.0024","房地产","房地产","房地产管理和开发","房地产开发","101166.00"
"26","000030.SZ","富奥股份","86.7979","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","181055.20"
"27","000031.SZ","中粮地产","238.2218","房地产","房地产","房地产管理和开发","房地产开发","181373.16"
"28","000032.SZ","深桑达A","38.1236","信息技术","技术硬件与设备","电子设备、仪器和元件","技术产品经销商","41321.97"
"29","000034.SZ","神州数码","93.8591","信息技术","技术硬件与设备","电子设备、仪器和元件","技术产品经销商","65407.04"
"30","000035.SZ","中国天楹","135.4962","工业","商业和专业服务","商业服务与用品","环境与设施服务","243873.64"
"31","000036.SZ","华联控股","75.0186","房地产","房地产","房地产管理和开发","房地产开发","114148.77"
"32","000037.SZ","深南电A","58.6488","公用事业","公用事业","电力","电力","60276.26"
"33","000038.SZ","深大通","75.1963","可选消费","媒体","媒体","广告","52277.74"
"34","000039.SZ","中集集团","405.7855","工业","资本货物","机械","工业机械","298498.88"
"35","000040.SZ","东旭蓝天","125.2840","公用事业","公用事业","独立电力生产商与能源贸易商","新能源发电业者","148687.39"
"36","000042.SZ","中洲控股","86.9865","房地产","房地产","房地产管理和开发","房地产开发","66483.11"
"37","000043.SZ","中航善达","57.4120","房地产","房地产","房地产管理和开发","房地产经营公司","66696.14"
"38","000045.SZ","深纺织A","37.1083","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","51127.41"
"39","000046.SZ","泛海控股","349.7043","房地产","房地产","房地产管理和开发","房地产开发","519620.06"
"40","000048.SZ","*ST康达","78.8493","日常消费","食品、饮料与烟草","食品","农产品","39076.87"
"41","000049.SZ","德赛电池","70.6777","工业","资本货物","电气设备","电气部件与设备","20524.37"
"42","000050.SZ","深天马A","351.6218","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","204812.31"
"43","000055.SZ","方大集团","74.0984","工业","资本货物","建筑与工程","建筑与工程","112338.42"
"44","000056.SZ","皇庭国际","67.1827","房地产","房地产","房地产管理和开发","房地产经营公司","117534.54"
"45","000058.SZ","深赛格","98.9761","房地产","房地产","房地产管理和开发","房地产经营公司","123565.62"
"46","000059.SZ","华锦股份","110.9693","能源","能源","石油、天然气与供消费用燃料","石油与天然气的炼制和销售","159944.25"
"47","000060.SZ","中金岭南","182.7679","材料","材料","金属、非金属与采矿","金属非金属","356968.53"
"48","000061.SZ","农产品","101.7160","日常消费","食品与主要用品零售","食品与主要用品零售","食品分销商","169696.41"
"49","000062.SZ","深圳华强","150.2647","信息技术","技术硬件与设备","电子设备、仪器和元件","技术产品经销商","72131.68"
"50","000063.SZ","中兴通讯","1286.2279","信息技术","技术硬件与设备","通信设备","通信设备","419267.19"
"51","000065.SZ","北方国际","73.2569","工业","资本货物","建筑与工程","建筑与工程","76950.54"
"52","000066.SZ","中国长城","219.8014","信息技术","技术硬件与设备","电脑与外围设备","电脑硬件","293616.56"
